#CGI
#yaml:
#    date: 2023-12-06 13:45:46
#    transit_version: v1.0.7
#    app_or_command_line: app
#    console_command: transit 
#    stats: {}
#    parameters:
#       frac_abund_file: /Users/jeffhykin/repos/transit2/cgi_output.abundances.tsv
#    
#Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval pred_logFC	pval concentration dependence	qval concentration dependence	Z
0	RVBD3884c	eccA2	10	0.9331034051104377	0.21894403248398364	-0.027563014197649865	1.3146169870500252e-16	3.1108015666745623e-24	0.288425826837546	0.37997008697694395	-0.18305887067997897
0	RVBD1189	sigI	6	1.2917796253274618	0.24195850126865615	0.0733310893516773	4.09583635110856e-11	1.1962437436416635e-07	0.09664496355133712	0.15315446942611421	0.4704830574406892
0	RVBD1249c	RVBD1249c	5	1.090059315210765	0.1730508364941767	0.03652142538456896	3.4829578291383056e-14	0.08828293253148856	0.2059526822102683	0.2865242780524729	0.23204832323665753
0	RVBD2337c	RVBD2337c	9	0.8502673770899543	0.39744501471341975	-0.04628346348236702	2.7120292584700986e-24	2.3915796023742573e-22	0.0057534060132057845	0.012941945741115025	-0.3043206500151582
0	RVBD2338c	moeW	9	1.2574718026924925	0.3310725711093494	0.05657195208804225	1.3042030487397634e-14	7.087960142084434e-06	0.12846272516411858	0.19431255382101728	0.36192568396087854
0	RVBD2223c	RVBD2223c	8	0.5106604062451504	0.2887257685302394	-0.10431913853041822	2.8438370516614774e-15	3.512390942184727e-25	8.588512584278918e-12	5.4743260877923624e-11	-0.6802469493369471
0	RVBD3346c	RVBD3346c	6	0.5081259507087135	0.16487407760534387	-0.09444073084968801	0.0022685206081052506	3.975292675665551e-21	0.027524090663679956	0.05158522490648685	-0.6162595271257956
0	RVBD0724	sppA	13	0.7304893916523825	0.2314294014218915	-0.022552355080484917	4.798324408467497e-12	1.1460902031286745e-05	0.3360814642152814	0.43227363257878537	-0.15060230775520514
0	RVBD1517	RVBD1517	15	0.9736022729531926	0.1520470490083078	0.009892010750170356	1.1406601079325223e-29	1.6574342586151183e-52	0.606221626581733	0.6948980812363048	0.05955619165851181
0	RVBD1779c	RVBD1779c	9	0.8874888412363604	0.03756938650460922	0.005193761519984443	1.3345554765540047e-21	0.6748651947994061	0.7921678157767517	0.8448949761479966	0.0291232649296869
0	RVBD3553	RVBD3553	6	0.9609436421476845	0.40598252135900226	-0.04693189318510915	3.6131845383385014e-12	2.377530453017751e-11	0.1255070488246151	0.19048654731041584	-0.30852085580789435
0	RVBD1458c	RVBD1458c	55	0.7592777979384404	0.18382948935616417	-0.04928431406568071	4.840056318388608e-55	7.349660667873055e-98	1.5784677262421936e-05	5.8566394787325675e-05	-0.32375867074411024
0	RVBD3774	echA21	11	0.8939444700413632	0.5063573490476492	-0.0602240560577689	4.855404715092322e-25	9.518399654341863e-23	0.000505956862508139	0.0014618954748618787	-0.3946208898742552
0	RVBD1608c	bcpB	8	1.2862029522736178	0.7032904655904328	0.09114975524845774	4.4639774520932933e-29	4.290350463493554e-06	4.681893790385379e-05	0.00016317657560597915	0.5859035315522066
0	RVBD3681c	whiB4	4	1.029874421331613	-0.145217434767426	0.017291098171875546	1.7491145506794915e-16	0.3705606623300324	0.41614637912103125	0.5149264700485364	0.10748380774115492
0	RVBD2827c	RVBD2827c	82	1.0983185067299106	0.12323324864406565	0.044335416072641694	1.7945706929007384e-120	1.7837711682567078e-157	6.217596988456008e-05	0.00021228501772130786	0.28266347675852116
0	RVBD2883c	pyrH	82	-0.12187035729493659	0.1326048754350516	-0.24279003198206678	0.0029549444313927515	6.206930101147764e-229	7.85061130156998e-92	3.996855525938539e-90	-1.5771926727382972
0	RVBD0263c	RVBD0263c	6	0.9344319211399684	0.3339465423099408	0.009307794240899161	1.6976406380561344e-16	0.0002742066972074803	0.6882431128559675	0.7615168637982672	0.05577192706348168
